Time - Voltage	Amplitude - Voltage	
7	28.5	-3.994
7	28.5	-4.436
7	28.5	-4.26
7	28.5	-4.226
7	28.5	-4.338
7	28.5	-3.97
7	28.5	-4.077
7	28.5	-4.233
7	28.6	-4.497
7	28.6	-3.997
7	28.6	-3.909
7	28.6	-3.181
7	28.6	-3.713
7	28.6	-4.077
7	28.6	-3.928
7	28.6	-3.42
7	28.6	-3.674
7	28.6	-4.07
7	28.6	-3.406
7	28.7	-3.811
7	28.7	-3.379
7	28.7	-3.948
7	28.7	-3.85
7	28.7	-4.036
7	28.7	-3.733
7	28.7	-3.503
7	28.7	-3.289
7	28.7	-3.662
7	28.7	-3.655
7	28.7	-2.295
7	28.8	-2.366
7	28.8	-2.722
7	28.8	-3.601
7	28.8	-3.184
7	28.8	-2.578
7	28.8	-1.938
7	28.8	-2.534
7	28.8	-3.169
7	28.8	-2.625
7	28.8	-2.48
7	28.8	-2.402
7	28.9	-2.473
7	28.9	-2.561
7	28.9	-2.28
7	28.9	-2.109
7	28.9	-1.807
7	28.9	-1.521
7	28.9	-2.239
7	28.9	-1.882
7	28.9	-1.072
7	28.9	-1.003
7	28.9	-1.509
7	29	-1.414
7	29	-1.238
7	29	-1.238
7	29	-1.016
7	29	-1.184
7	29	-1.917
7	29	-1.589
7	29	-0.857
7	29	-0.911
7	29	-1.069
7	29	-1.616
7	29.1	-1.096
7	29.1	-0.715
7	29.1	-0.691
7	29.1	-0.657
7	29.1	-0.691
7	29.1	-0.679
7	29.1	-0.571
7	29.1	-0.537
7	29.1	-0.569
7	29.1	-0.61
7	29.1	-0.852
7	29.2	-0.771
7	29.2	-0.552
7	29.2	-0.474
7	29.2	-0.574
7	29.2	-0.72
7	29.2	-0.457
7	29.2	-0.457
7	29.2	-0.469
7	29.2	-0.457
7	29.2	-0.466
7	29.2	-0.603
7	29.3	-0.681
7	29.3	-0.625
7	29.3	-0.498
7	29.3	-0.701
7	29.3	-1.082
7	29.3	-1.353
7	29.3	-0.72
7	29.3	-0.669
7	29.3	-0.913
7	29.3	-1.196
7	29.4	-0.979
7	29.4	-1.055
7	29.4	-1.284
7	29.4	-0.95
7	29.4	-1.709
7	29.4	-1.379
7	29.4	-1.589
7	29.4	-1.033
7	29.4	-1.143
7	29.4	-1.689
7	29.4	-2.039
7	29.5	-1.807
7	29.5	-1.831
7	29.5	-2.187
7	29.5	-1.89
7	29.5	-2.2
7	29.5	-1.67
7	29.5	-1.462
7	29.5	-2.087
7	29.5	-2.295
7	29.5	-1.985
7	29.5	-1.792
7	29.6	-1.658
7	29.6	-2
7	29.6	-2.795
7	29.6	-2.466
7	29.6	-1.892
7	29.6	-1.936
7	29.6	-2.427
7	29.6	-2.644
7	29.6	-2.886
7	29.6	-2.229
7	29.6	-2.373
7	29.7	-2.583
7	29.7	-3.372
7	29.7	-3.135
7	29.7	-3.018
7	29.7	-2.607
7	29.7	-3.23
7	29.7	-3.252
7	29.7	-3.049
7	29.7	-3.389
7	29.7	-2.937
7	29.7	-3.752
7	29.8	-4.126
7	29.8	-3.818
7	29.8	-3.293
7	29.8	-3.74
7	29.8	-4.109
7	29.8	-4.368
7	29.8	-4.18
7	29.8	-4.011
7	29.8	-4.304
7	29.8	-4.534
7	29.8	-4.583
7	29.9	-4.375
7	29.9	-4.023
7	29.9	-4.236
7	29.9	-4.573
7	29.9	-4.539
7	29.9	-4.524
7	29.9	-4.448
7	29.9	-4.495
7	29.9	-4.575
7	29.9	-4.575
7	29.9	-4.575
7	30	-4.556
7	30	-4.556
7	30	-4.463
7	30	-4.314
7	30	-4.546
7	30	-4.492
7	30	-4.492
7	30	-4.443
7	30	-4.297
7	30	-4.509
7	30	-4.48
7	30.1	-4.226
7	30.1	-4.29
7	30.1	-4.521
7	30.1	-4.407
7	30.1	-4.541
7	30.1	-4.353
7	30.1	-3.889
7	30.1	-3.918
7	30.1	-4.231
7	30.1	-4.177
7	30.1	-3.906
7	30.2	-3.411
7	30.2	-4.055
7	30.2	-4.099
7	30.2	-3.838
7	30.2	-3.794
7	30.2	-3.728
7	30.2	-3.474
7	30.2	-3.923
7	30.2	-3.665
7	30.2	-3.291
7	30.3	-3.269
7	30.3	-3.174
7	30.3	-2.981
7	30.3	-3.247
7	30.3	-3.003
7	30.3	-2.671
7	30.3	-2.756
7	30.3	-3.147
7	30.3	-3.008
7	30.3	-2.947
7	30.3	-2.561
7	30.4	-2.764
7	30.4	-2.803
7	30.4	-2.354
7	30.4	-2.009
7	30.4	-2.407
7	30.4	-2.581
7	30.4	-2.527
7	30.4	-2.119
7	30.4	-1.824
7	30.4	-1.843
7	30.4	-1.86
7	30.5	-2.371
7	30.5	-2.061
7	30.5	-1.528
7	30.5	-1.497
7	30.5	-1.621
7	30.5	-1.643
7	30.5	-1.619
7	30.5	-1.643
7	30.5	-1.23
7	30.5	-1.699
7	30.5	-1.833
7	30.6	-1.003
7	30.6	-1.101
7	30.6	-1.274
7	30.6	-1.804
7	30.6	-1.87
7	30.6	-0.947
7	30.6	-0.801
7	30.6	-1.301
7	30.6	-1.487
7	30.6	-1.255
7	30.6	-0.808
7	30.7	-0.793
7	30.7	-1.064
7	30.7	-1.199
7	30.7	-0.75
7	30.7	-0.664
7	30.7	-0.579
7	30.7	-0.657
7	30.7	-1.035
7	30.7	-0.566
7	30.7	-0.464
7	30.8	-0.532
7	30.8	-0.51
7	30.8	-0.457
7	30.8	-0.444
7	30.8	-0.442
7	30.8	-0.437
7	30.8	-0.464
7	30.8	-0.437
7	30.8	-0.552
7	30.8	-0.461
7	30.8	-0.579
7	30.9	-0.542
7	30.9	-0.432
7	30.9	-0.425
7	30.9	-0.461
7	30.9	-0.647
7	30.9	-0.488
7	30.9	-0.435
7	30.9	-0.596
7	30.9	-0.579
7	30.9	-1.001
7	30.9	-0.803
7	31	-0.652
7	31	-0.613
7	31	-0.647
7	31	-1.04
7	31	-1.331
7	31	-0.601
7	31	-0.691
7	31	-1.074
7	31	-0.913
7	31	-1.077
7	31	-0.806
7	31	-0.791
7	31.1	-1.025
7	31.1	-1.484
7	31.1	-1.284
7	31.1	-1.243
7	31.1	-1.14
7	31.1	-1.218
7	31.1	-1.448
7	31.1	-1.763
7	31.1	-1.458
7	31.1	-1.248
7	31.1	-1.548
7	31.2	-1.594
7	31.2	-1.736
7	31.2	-1.128
7	31.2	-1.521
7	31.2	-2.266
7	31.2	-2.393
7	31.2	-2.061
7	31.2	-1.98
7	31.2	-2.148
7	31.2	-2.908
7	31.3	-2.585
7	31.3	-1.78
7	31.3	-1.982
7	31.3	-2.432
7	31.3	-2.935
